Company Name,Rating,Reviews,Domain,Location,Bad Review,Review Count,Salary Count,Interview Count,Job Count,Benefit Count,Photo Count
Thermax Limited,4.2,4.3k,Industrial Machinery,Pune +261 other locations,"Job Security, Company Culture, Work Life Balance",4.3k,13.4k,354,42,384,24
Jubilant Foods Works,3.7,4.3k,Hospitality,New Delhi +268 other locations,"Promotions, Work Satisfaction",4.3k,9.8k,262,369,198,18
Macleods Pharmaceuticals,3.7,4.3k,Pharma,Mumbai +138 other locations,Job Security,4.3k,16k,276,31,340,3
Carelon Global Solutions,3.9,4.3k,IT Services & Consulting,Bengaluru +20 other locations,"Company Culture, Work Life Balance, Job Security",4.3k,29.2k,429,111,18,9
Aakash Educational Services,3.2,4.3k,Education & Training,New Delhi +251 other locations,"Promotions, Work Life Balance, Job Security",4.3k,14k,383,125,218,25
Bajaj Auto,3.8,4.2k,Automobile,Pune +325 other locations,Promotions,4.2k,14.8k,334,40,502,19
Jindal Steel Limited,3.9,4.2k,Iron & Steel,Angul +176 other locations,Skill Development,4.2k,16.1k,443,67,342,37
State Street Corporation,3.5,4.2k,Financial Services,Bengaluru +36 other locations,"Promotions, Work Satisfaction, Job Security",4.2k,34.1k,299,7,268,11
Hindalco Industries,4.2,4.2k,Metals & Mining,Sambalpur +132 other locations,"Job Security, Work Life Balance, Skill Development",4.2k,13.2k,319,10,342,12
LG Electronics,3.8,4.2k,Consumer Electronics & Appliances,Pune +301 other locations,Job Security,4.2k,11.4k,267,12,407,18
Kogta Financial India Limited,4.6,4.2k,NBFC,Jaipur +260 other locations,"Company Culture, Work Life Balance, Work Satisfaction",4.2k,1.9k,252,89,35,39
HDFC ERGO General Insurance,4.0,4.1k,Insurance,Mumbai +328 other locations,"Work Life Balance, Job Security, Company Culture",4.1k,12.3k,207,1,281,7
Royal Enfield,4.2,4.1k,Automobile,Chennai +375 other locations,"Work Life Balance, Skill Development, Company Culture",4.1k,15.2k,207,1,404,39
DCB Bank,3.8,4.1k,Banking,Mumbai +347 other locations,Work Life Balance,4.1k,9.8k,236,14,260,23
RBL Bank,3.5,4.1k,Banking,Mumbai +294 other locations,"Promotions, Company Culture, Work Satisfaction",4.1k,18.7k,251,40,233,11
John Deere,4.0,4.1k,Industrial Machinery,Pune +155 other locations,"Company Culture, Work Life Balance, Skill Development",4.1k,15.7k,273,4,432,12
Tata Communications,3.8,4.1k,Telecom,Pune +102 other locations,"Work Life Balance, Job Security",4.1k,23.7k,308,163,433,13
Publicis Sapient,3.2,4k,IT Services & Consulting,Bengaluru +47 other locations,"Promotions, Job Security, Work Satisfaction",4k,33.5k,713,205,406,70
Cummins,4.3,4k,Industrial Machinery,Pune +115 other locations,"Company Culture, Work Life Balance, Work Satisfaction",4k,15.7k,293,143,464,16
Alembic Pharmaceuticals,3.9,4k,Pharma,Vadodara +188 other locations,"Salary, Work Life Balance",4k,15.5k,266,64,388,9
Bank of America,4.1,4k,Banking,Gurugram +34 other locations,"Job Security, Work Life Balance, Company Culture",4k,30.1k,298,--,420,--
Cloudnine Hospital,4.5,4k,Healthcare,Bengaluru +46 other locations,"Company Culture, Job Security, Skill Development",4k,3.1k,1.5k,31,139,7
Pidilite Industries,4.2,4k,Chemicals,Mumbai +322 other locations,"Job Security, Work Life Balance, Company Culture",4k,12.1k,272,19,368,5
